Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.8875390906904017,0.9237536656891495,0.8422459893048129,0.8811188811188811,0.9532859052711994
XGBoost,0.9212172239595863,0.9357520786092215,0.9027710257656781,0.9189657305455895,0.9758373556033985
