Feature,Importance
RXPACC,0.15214532510023515
RANGE,0.052896267876656126
FP_AMP3,0.050909313853838546
CIR_PWR,0.05042493942851449
MAX_NOISE,0.04503356223037915
FP_AMP2,0.03818131181862482
SNR,0.03287321098052526
SNR_dB,0.026000757113268564
STDEV_NOISE,0.019096137692215576
FP_AMP1,0.017325913822381044
CIR741,0.015763325375618177
FP_IDX,0.013334194277737833
CIR742,0.012128869908331546
CIR740,0.011723512367069887
CIR750,0.01088038057602494
CIR743,0.010869327622718505
CIR752,0.009916141045387747
CIR751,0.008924939907449185
CIR746,0.008404894459447589
CIR749,0.008248803255500729
CIR745,0.007183970420912447
CIR748,0.006764627416214819
CIR747,0.0066845414601048566
CIR739,0.00605773989689472
CIR744,0.006015957403551226
CIR754,0.005989415707372812
CIR738,0.005973383685273731
PEAK2_AMP,0.005567258552328719
CIR753,0.005451190901627195
CIR735,0.00536565506287843
CIR755,0.004866075722830635
CIR734,0.004708929867286077
CIR756,0.0046183773336840464
CIR737,0.0045354110025125
CIR732,0.004474266219247654
CIR736,0.0039898310995104555
CIR757,0.003976191174711736
CIR806,0.0038104515738458643
CIR804,0.0037892815168456954
CIR769,0.0037702075819464483
CIR759,0.0037691260280437178
CIR766,0.003756828178531682
CIR731,0.003709418850350073
CIR847,0.003706461594598621
CIR733,0.003678472280119362
CIR758,0.0036539358549067453
CIR767,0.0036380771204965593
CIR765,0.0036066796127560046
CIR801,0.0035942603261649364
CIR761,0.0035905365922698886
CIR730,0.00358919356077413
CIR770,0.003582340003208595
CIR763,0.0035657281168477674
PEAK2_IDX,0.0034956909670814783
CIR774,0.003485925577490314
CIR810,0.003475826795116749
CIR760,0.003468367112029983
CIR778,0.0034438573305652417
CIR776,0.003440962074321584
CIR773,0.003426691311209681
CIR783,0.003415563362924383
CIR777,0.003405894518682982
CIR764,0.0034008323488253474
CIR788,0.003394943584993557
CIR772,0.0033724953898030003
CIR809,0.003371536776483283
CIR811,0.0033710582103573237
CIR807,0.003368926520974701
CIR787,0.003363375857128993
CIR848,0.0033626428160397253
CIR800,0.0033547262676272183
CIR768,0.0033524864494798973
CIR786,0.0033340547028862027
CIR790,0.0033277322759774487
CIR802,0.003318599573426144
CIR805,0.0033150973406106485
CIR779,0.003298464127260842
CIR784,0.003292898065800033
CIR849,0.0032894145231913995
CIR793,0.003274571671369498
CIR781,0.0032739012108492387
CIR762,0.0032669636335381463
CIR808,0.0032579979589024534
CIR815,0.0032537338869196198
CIR780,0.0032507800190425683
CIR798,0.003219184610093849
CIR775,0.00319331747559746
CIR812,0.003192790469308761
CIR839,0.003188846949631285
CIR845,0.003185256247189959
CIR797,0.003176711515650961
CIR813,0.0031672792246204952
CIR771,0.003160285065023794
CIR803,0.0031571771586309124
CIR838,0.0031462580727366963
CIR846,0.0031251624456496347
CIR842,0.003119909001396205
CIR792,0.0031007148347804037
CIR831,0.0030929957579231403
CIR794,0.003090078607619599
CIR789,0.003086301919032992
CIR816,0.003083045965824875
CIR799,0.0030362174201390467
CIR822,0.0030164037198042405
CIR795,0.00301124599831735
CIR821,0.003007209720513016
CIR785,0.0029967423668901772
CIR791,0.0029895163444326645
CIR818,0.002989365975280445
CIR825,0.002951071908292583
CIR819,0.002940034443508339
CIR836,0.002930221239118593
CIR844,0.0029296897577369163
CIR782,0.0029240652782253217
CIR843,0.0029145626613525893
CIR828,0.002909901504590223
CIR820,0.0028753883884816713
CIR826,0.0028722117320590756
CIR814,0.002863278634529707
CIR817,0.0028574620279113376
CIR796,0.0028431612555338587
CIR840,0.002842718830292656
CIR830,0.0028368136894000606
CIR841,0.002836162883282074
CIR823,0.002831282102957512
CIR827,0.0028279744691133506
CIR832,0.002812626411658245
CIR834,0.002811964631541521
CIR833,0.002808104094212654
CIR824,0.0028036393394952623
CIR835,0.002789017365423845
CIR837,0.0027291785124854005
CIR829,0.0027248610124612133
PEAK2_GAP,0.0023542183650937104
PREAM_LEN,0.000574425124395784
FRAME_LEN,0.0004329847792758117
CH,0.0
PEAK2_FOUND,0.0
PRFR,0.0
BITRATE,0.0
