Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,NLOS Recall,NLOS FalseNeg,LOS FalsePos
Random Forest,0.886937695453452,0.9202860169491526,0.8446767136606709,0.8808618504435995,0.9534815496446513,0.8446767136606709,639,301
Logistic Regression,0.8595140726485446,0.8940609951845907,0.8123480797277589,0.8512480896586857,0.9220599810172003,0.8123480797277589,772,396
SVM (LinearSVC),0.8596343516959346,0.8968489092378131,0.8094312105007292,0.850900728248371,0.9223873185637892,0.8094312105007292,784,383
XGBoost,0.9210969449121963,0.9350780070457977,0.9032571706368497,0.9188921859545005,0.9762730050697964,0.9032571706368497,398,258
1D CNN,0.919653596343517,0.9368661257606491,0.8981526494895479,0.9171010176222387,0.9766226821307035,0.8981526494895479,419,249
