Feature,Importance
PREAM_LEN,0.47423854
noise_ratio,0.09553483
RXPACC,0.057775028
CIR_num_peaks,0.036075827
CIR_PWR,0.015541547
CIR_energy,0.011238264
SNR_per_acc,0.011080903
CIR_aligned_98,0.00785308
CIR_aligned_93,0.007752383
CIR_skewness,0.0064807627
signal_to_noise,0.0059984475
CIR_aligned_96,0.0059537156
CIR_aligned_97,0.0057866857
PEAK2_AMP,0.0055924524
CIR_aligned_90,0.0055510188
CIR_aligned_92,0.005266608
CIR_aligned_95,0.0050831432
FRAME_LEN,0.004795965
CIR_aligned_101,0.0046298574
CIR_aligned_99,0.004580327
CIR_aligned_102,0.0039357985
CIR_aligned_91,0.003916002
CIR_aligned_100,0.0038408127
FP_power,0.0037113752
STDEV_NOISE,0.0032486382
CIR_aligned_88,0.0032270537
CIR_aligned_104,0.0032170517
MAX_NOISE,0.003213329
FP_AMP3,0.0031286364
CIR_aligned_41,0.0030113566
CIR_aligned_107,0.003002724
CIR_aligned_31,0.0029549808
CIR_aligned_39,0.0029477593
FP_AMP2,0.0028976065
CIR_rise_time,0.0028438247
CIR_aligned_89,0.002838928
CIR_aligned_86,0.002634045
CIR_aligned_58,0.0025920344
CIR_aligned_94,0.0025131549
CIR_aligned_103,0.0025080817
PEAK2_GAP,0.002442071
CIR_aligned_105,0.00243974
CIR_aligned_59,0.0024132407
CIR_aligned_26,0.0023866205
CIR_aligned_40,0.0023755212
CIR_aligned_42,0.0023342024
CIR_aligned_87,0.0022928228
CIR_aligned_27,0.0022895702
CIR_aligned_108,0.0022568165
CIR_aligned_30,0.0021601822
CIR_aligned_69,0.0021323117
CIR_aligned_54,0.002096483
CIR_aligned_111,0.0020911552
CIR_aligned_43,0.0020570531
CIR_aligned_71,0.0020559106
CIR_aligned_106,0.0020335764
CIR_aligned_81,0.0019578221
CIR_aligned_109,0.00195352
CIR_aligned_57,0.001928111
CIR_aligned_38,0.0019106227
CIR_aligned_28,0.0018641339
CIR_aligned_33,0.0018610717
CIR_aligned_72,0.0018558102
CIR_kurtosis,0.0018416153
CIR_aligned_68,0.0017864316
CIR_aligned_44,0.0017563149
CIR_aligned_56,0.0017452728
CIR_aligned_75,0.0017442546
CIR_aligned_74,0.0017315173
CIR_aligned_76,0.0017306047
CIR_aligned_45,0.0017166922
CIR_aligned_77,0.0016987748
CIR_aligned_55,0.0016917425
CIR_aligned_67,0.0016746306
CIR_aligned_53,0.0016681384
CIR_aligned_78,0.0016655579
CIR_aligned_83,0.0016537245
CIR_aligned_110,0.001652434
CIR_aligned_64,0.001651067
CIR_aligned_73,0.0016343015
CIR_aligned_60,0.0016265425
CIR_aligned_115,0.0016040424
CIR_aligned_61,0.001599233
CIR_aligned_85,0.0015907512
CIR_aligned_80,0.001584245
CIR_aligned_79,0.0015840707
FP_AMP1,0.0015726632
CIR_aligned_112,0.0015588985
CIR_aligned_52,0.0015578521
CIR_aligned_116,0.0015359509
CIR_aligned_34,0.0015129658
FP_IDX,0.001512118
CIR_aligned_37,0.001492333
CIR_aligned_66,0.0014825774
CIR_aligned_84,0.0014809163
CIR_aligned_113,0.0014779377
CIR_aligned_118,0.0014732105
CIR_aligned_51,0.0014642859
CIR_aligned_114,0.0014464295
PEAK2_IDX,0.0014367155
CIR_aligned_47,0.0014222541
CIR_aligned_65,0.0014088072
CIR_aligned_32,0.0014071078
CIR_aligned_49,0.001404502
CIR_aligned_48,0.001398037
FP_AMP_ratio,0.0013970054
CIR_aligned_70,0.0013824612
CIR_aligned_62,0.0013823315
CIR_aligned_119,0.0013789948
CIR_aligned_63,0.0013716882
CIR_aligned_24,0.001362966
CIR_aligned_82,0.0013269176
SNR,0.001324247
CIR_aligned_117,0.0013199018
CIR_aligned_46,0.0013188965
CIR_aligned_25,0.0012403901
CIR_aligned_35,0.0012274971
SNR_dB,0.0012270755
CIR_aligned_36,0.0011998571
CIR_aligned_50,0.0011873473
CIR_aligned_29,0.0011386403
CIR_aligned_8,0.0010951686
CIR_aligned_5,0.0010950846
CIR_aligned_0,0.0010717652
CIR_aligned_23,0.0010516623
CIR_aligned_22,0.0010423518
CIR_aligned_17,0.001041846
CIR_aligned_1,0.001036644
CIR_aligned_16,0.0010356088
CIR_aligned_21,0.00102311
CIR_aligned_3,0.0010207071
CIR_aligned_20,0.0010204484
CIR_aligned_9,0.0010196129
CIR_aligned_18,0.0010184435
CIR_aligned_4,0.0010180126
CIR_aligned_14,0.0010129532
CIR_aligned_13,0.0010046328
CIR_aligned_6,0.0009992823
CIR_aligned_11,0.0009772395
CIR_aligned_7,0.00097491
CIR_aligned_2,0.0009700272
CIR_aligned_10,0.00096938416
CIR_aligned_12,0.000967651
CIR_aligned_15,0.0009462932
CIR_aligned_19,0.00094251864
PEAK2_FOUND,0.0
CH,0.0
BITRATE,0.0
PRFR,0.0
