Feature,Importance
RXPACC,0.15603897686211055
RANGE,0.055437467107132654
MAX_NOISE,0.050353113185211164
FP_AMP2,0.04799446427333245
FP_AMP3,0.044623394159442026
CIR_PWR,0.041611641139729365
SNR_dB,0.032254705907184336
SNR,0.02425790864032478
FP_AMP1,0.020028930169349094
STDEV_NOISE,0.017657962762127288
CIR741,0.017118605936331854
FP_IDX,0.01343796064711242
CIR750,0.011199723985565317
CIR743,0.010965750489946928
CIR740,0.010246244753114692
CIR742,0.008680574327273
CIR745,0.008569152606720861
CIR751,0.008365072393129502
CIR749,0.008326667258842823
CIR748,0.008274444358320013
CIR752,0.008019132414250662
CIR747,0.007647497958183168
CIR746,0.007519749849398286
CIR753,0.007072513640769001
CIR744,0.006882291065404943
CIR754,0.006864410641381907
CIR739,0.005194327060025072
CIR755,0.0050706385530045915
CIR735,0.005054436714682486
CIR738,0.004779860186122817
CIR756,0.004669400173581607
CIR737,0.004668216825444216
CIR734,0.004560083864212777
CIR736,0.004400586107204471
CIR732,0.004220266389521455
CIR731,0.0042034058971372554
CIR730,0.004134630172997027
CIR766,0.004101627438338178
CIR767,0.003940128510886633
CIR758,0.0038672413281547026
CIR757,0.003858479618088649
CIR801,0.0038536256925027173
CIR778,0.0038323779484619592
CIR769,0.0037923414655279043
CIR761,0.003752454274579388
CIR804,0.003738633650594792
CIR847,0.0037195127135688077
CIR764,0.0036936887824148166
CIR771,0.003692909053539532
CIR733,0.003667064604038487
CIR772,0.0036560366095555637
CIR768,0.0036486419222095585
CIR770,0.003634223556249715
CIR765,0.0036136025116770792
CIR809,0.00359103200790733
CIR776,0.003585955943359466
CIR773,0.0035745141220438923
CIR783,0.0035700090383878735
CIR760,0.0035651874354554196
CIR808,0.003549251062743928
CIR763,0.0035477034441129306
CIR759,0.003545507250300763
CIR784,0.0035422847318931
CIR806,0.0035395488061581866
CIR807,0.00348865785481243
CIR802,0.003471544503060495
CIR781,0.003470304078245662
CIR774,0.0034591618274822044
CIR787,0.0034363475810904875
CIR789,0.0034290797865577116
CIR777,0.00342398983682159
CIR785,0.003416993561547019
CIR798,0.0034129585130899254
CIR775,0.003394406537243144
CIR803,0.003375322130930153
CIR786,0.003360318826079751
CIR762,0.0033269328681347177
CIR805,0.0033157035247600697
CIR793,0.0033144476343550918
CIR812,0.0032903115558464745
CIR811,0.0032727517425335667
CIR813,0.0032667922306580206
CIR782,0.003265185674135096
CIR788,0.003259050902408828
CIR794,0.0032556840264603075
CIR797,0.0032337589058750046
CIR800,0.003227710628800974
CIR838,0.0032263649958980296
CIR779,0.0032182087309327563
CIR790,0.0032162180945805945
CIR839,0.003214667509210287
CIR848,0.0032038118144662882
CIR849,0.0031957180845375286
CIR796,0.003186789756903548
CIR818,0.003173380456603346
CIR795,0.0031671474820174393
CIR846,0.0031318788114200495
CIR841,0.0031020681548426994
CIR815,0.0030958123581175554
CIR810,0.0030863892271000303
CIR780,0.003085215311544333
CIR844,0.003059596651751208
CIR831,0.0030307927877963907
CIR799,0.003023724128067717
CIR840,0.0030227794245693868
CIR819,0.003022270526440135
CIR791,0.00302154900406197
CIR816,0.002982861807262095
CIR842,0.002966038930921512
CIR823,0.002964691356614012
CIR843,0.002960271901354841
CIR825,0.00294486477042083
CIR820,0.0029327004728431443
CIR822,0.0029221589723054013
CIR845,0.00291732079387229
CIR830,0.002900591317783469
CIR828,0.002896364502033588
CIR814,0.0028947880285540278
CIR792,0.0028829942801058732
CIR827,0.0028798505636387296
CIR829,0.002875455277425146
CIR817,0.0028735828470199194
CIR826,0.002827842189386458
CIR837,0.00278502536795008
CIR836,0.002782390807387231
CIR821,0.0027807765909301924
CIR824,0.0027803271825689486
CIR832,0.0027592266296564303
CIR834,0.0027547336764789164
CIR835,0.0026955432413060454
CIR833,0.0026705705108235967
PREAM_LEN,0.0011955288874971398
FRAME_LEN,0.0004439090536957973
CH,0.0
PRFR,0.0
BITRATE,0.0
