Feature,Coefficient,AbsCoefficient
RXPACC,0.6418271045269058,0.6418271045269058
MAX_NOISE,-0.21424655657092265,0.21424655657092265
STDEV_NOISE,0.1407467439104898,0.1407467439104898
RANGE,-0.12637427079304386,0.12637427079304386
FP_IDX,-0.11304735260236641,0.11304735260236641
FP_AMP3,-0.10019310330132569,0.10019310330132569
CIR_PWR,0.09462996614725128,0.09462996614725128
SNR_dB,-0.08177922905414153,0.08177922905414153
CIR740,0.07165411126312925,0.07165411126312925
CIR749,-0.06675681212510186,0.06675681212510186
CIR745,-0.062383115729420825,0.062383115729420825
CIR738,-0.05709574328757442,0.05709574328757442
CIR747,-0.05602185551364606,0.05602185551364606
CIR754,-0.05251627433498493,0.05251627433498493
CIR752,-0.04592752138891932,0.04592752138891932
CIR755,-0.04478094753772683,0.04478094753772683
CIR753,-0.04275575924917044,0.04275575924917044
CIR743,-0.04076093167442308,0.04076093167442308
CIR730,-0.03763340138072205,0.03763340138072205
CIR750,-0.03749200960047779,0.03749200960047779
CIR746,-0.03682167657470713,0.03682167657470713
CIR751,-0.03617830284485108,0.03617830284485108
CIR835,-0.033015138264628416,0.033015138264628416
CIR813,0.032980426762472974,0.032980426762472974
CIR756,-0.0305650463299582,0.0305650463299582
CIR810,0.02831246168517158,0.02831246168517158
CIR757,-0.028118796359555664,0.028118796359555664
CIR748,-0.028092141734534046,0.028092141734534046
CIR836,0.027349552462774967,0.027349552462774967
CIR771,-0.026721552916047536,0.026721552916047536
CIR767,-0.02610494086197937,0.02610494086197937
CIR783,-0.025914569234097837,0.025914569234097837
CIR742,0.025296048139684207,0.025296048139684207
CIR801,-0.02521133683483076,0.02521133683483076
CIR815,0.023641099152093937,0.023641099152093937
CIR739,-0.023596943155180485,0.023596943155180485
CIR831,0.02353666166036388,0.02353666166036388
CIR744,-0.02253568796505043,0.02253568796505043
CIR773,-0.022237277547660885,0.022237277547660885
CIR758,-0.021766054406209063,0.021766054406209063
CIR808,0.0216281347257196,0.0216281347257196
CIR797,-0.020991425916353834,0.020991425916353834
CIR821,0.02070504585134753,0.02070504585134753
CIR787,-0.020599998178658693,0.020599998178658693
CIR804,0.019659684384116836,0.019659684384116836
CIR790,-0.019154575731184568,0.019154575731184568
CIR761,-0.01908499693741805,0.01908499693741805
CIR792,-0.018843529744133915,0.018843529744133915
CIR834,0.01877682333822925,0.01877682333822925
FP_AMP1,-0.017923066430074536,0.017923066430074536
CIR778,0.01785793053916108,0.01785793053916108
CIR779,-0.01769744156255991,0.01769744156255991
CIR733,-0.017447017837312683,0.017447017837312683
CIR812,0.0173099943081544,0.0173099943081544
SNR,0.017210668217234538,0.017210668217234538
CIR817,0.01677963132798579,0.01677963132798579
CIR785,-0.01654875746710553,0.01654875746710553
CIR781,-0.01543105941241966,0.01543105941241966
CIR816,0.015213619358799058,0.015213619358799058
CIR775,-0.014893159816423989,0.014893159816423989
CIR844,0.014307398905086014,0.014307398905086014
CIR820,0.014306700981871654,0.014306700981871654
CIR760,-0.014112630547625342,0.014112630547625342
CIR735,-0.013975519967852484,0.013975519967852484
CIR732,0.013953601676740817,0.013953601676740817
CIR795,-0.013811291816468063,0.013811291816468063
CIR828,0.01358125375493984,0.01358125375493984
CIR759,-0.01320633638745315,0.01320633638745315
CIR796,0.013203240391306803,0.013203240391306803
CIR736,-0.012830510774307038,0.012830510774307038
CIR777,-0.012690748740507152,0.012690748740507152
CIR769,-0.012665655547034674,0.012665655547034674
CIR842,0.012087027751243247,0.012087027751243247
CIR818,0.012018188667479161,0.012018188667479161
CIR784,-0.011949212883563579,0.011949212883563579
CIR843,-0.011933072720568762,0.011933072720568762
CIR766,-0.011904560961137829,0.011904560961137829
CIR788,-0.011894520906110291,0.011894520906110291
CIR764,-0.011762179822669546,0.011762179822669546
CIR802,0.011560362360630322,0.011560362360630322
CIR774,0.011489832746287619,0.011489832746287619
CIR789,-0.011316069005217783,0.011316069005217783
CIR832,-0.011023651539389645,0.011023651539389645
CIR837,-0.0108018506301496,0.0108018506301496
CIR786,-0.010651677854632524,0.010651677854632524
CIR847,0.010400391139371181,0.010400391139371181
CIR794,-0.010283773301559466,0.010283773301559466
CIR825,0.010014026608027566,0.010014026608027566
CIR824,0.009859979386990752,0.009859979386990752
CIR826,0.009537382118071354,0.009537382118071354
CIR806,0.009505075358046107,0.009505075358046107
CIR822,0.00941918680689022,0.00941918680689022
